ticker,market_cap,pe,pb,roe,rev_growth,earn_growth,debt_equity
PGR,118501769216,10.309415,3.702729,0.37903,0.087,0.098,26.174
PTC,16628516864,20.580267,4.3237724,0.23141001,0.214,1.044,35.942
QCOM,145467736064,27.459677,6.3398967,0.2148,0.05,-0.018,64.218
PSA,54281183232,34.357777,11.079184,0.18763,0.033,-0.193,109.763
PHM,24311672832,11.378597,1.8779126,0.17673999,-0.063,-0.421,18.453
PWR,90316136448,88.511765,10.072125,0.12739,0.197,0.026,71.102
DGX,21585707008,22.262556,2.9919305,0.14751,0.071,0.11,90.379
RL,23460659200,26.318369,8.116988,0.33846,0.122,0.249,98.972
RJF,29966057472,14.833823,2.3936841,0.17124,0.057,-0.024,46.262
RTX,264376270848,39.52113,4.040982,0.109519996,0.121,0.083,59.513
Q,28574410752,41.3,4.025103,0.079840004,0.081,-0.528,61.431
O,60693209088,55.632477,1.5414307,0.02702,0.11,0.412,73.505
REG,15127561216,28.698582,2.2092705,0.07683,0.089,1.419,69.389
REGN,79350120448,18.081669,2.4637287,0.14864999,0.025,-0.026,9.511
RSG,64157843456,30.315329,5.344211,0.18301001,0.022,0.074,115.348
RMD,33297829888,22.563799,5.2569475,0.25676,0.11,0.145,13.411
HOOD,81702985728,44.268295,8.948822,0.21993999,0.265,-0.345,136.04
RVTY,10505040896,45.611652,1.4550973,0.03216,0.059,0.125,46.869
RF,24031916032,11.672198,1.3799362,0.11895,0.073,0.216,
ROK,46741848064,47.62085,12.469406,0.23736,0.119,0.671,99.289
ROL,26509385728,50.458714,19.257704,0.38944,0.097,0.099,75.529
ROST,73687228416,34.46596,11.868098,0.36678,0.122,0.118,84.241
ROP,37305049088,25.505981,1.9433155,0.07929,0.097,-0.073,47.957
RCL,77854097408,18.27657,7.6915617,0.47731,0.133,0.371,215.09
CRM,168115224576,23.351282,2.8610475,0.123959996,0.121,0.179,29.947
STX,122709901312,61.7531,260.33743,,0.215,0.677,1046.623
SBAC,23666765824,22.769388,-4.8579454,,0.037,1.156,
SPGI,132239917056,30.209558,4.248414,0.13087,0.09,0.32,37.912
SLB,79049678848,22.408512,3.0160367,0.13904001,0.05,-0.286,45.975
SNDK,135939022848,,13.346326,-0.09372,0.612,6.18,7.96
SRE,61426323456,34.18909,1.9424415,0.051909998,-0.002,-0.482,83.385
NOW,101106360320,57.88024,7.808386,0.15488,0.207,0.034,18.536
SHW,85618565120,33.679337,18.50731,0.59391,0.056,0.014,306.061
SPG,78499995648,14.553987,12.978602,1.04109,0.132,3.581,435.463
SJM,10189307904,,1.9460406,-0.20683001,0.07,,143.204
SWKS,8872448000,22.601534,1.535758,0.06485,-0.031,-0.47,20.714
SW,22144487424,31.7594,1.2004775,0.03911,0.005,-0.33,81.007
SOLV,12227787776,7.9369373,2.4218268,0.38861,-0.037,1.008,103.941
SO,106541506560,24.109694,2.9370086,0.11043,0.101,-0.221,190.586
SNA,19795845120,19.805727,3.3250556,0.18327999,0.031,0.029,21.711
LUV,20979277824,54.050632,2.758398,0.04812,0.074,0.508,74.94
SWK,11078133760,26.920752,1.2215126,0.04522,-0.01,-0.193,70.024
STT,40535445504,14.764465,1.6714554,0.11261,-0.028,-0.241,
SBUX,113929994240,83.33333,-13.5795765,,0.055,-0.625,
SYK,131486154752,40.82283,5.857304,0.15079,0.114,0.559,72.971
SMCI,17149763584,20.846714,2.4464622,0.13193,1.234,0.192,75.28
STLD,29022842880,25.07134,3.2414765,0.13284001,0.14,0.347,49.077
STE,22160611328,31.447075,3.0959399,0.10468,0.092,0.121,28.651
TMUS,221095198720,20.31552,3.6958716,0.18177,0.113,-0.266,208.851
SYF,28215803904,8.441811,1.7508492,0.21304001,0.05,0.078,
SNPS,86122455040,68.95399,2.8175175,0.055430003,0.655,-0.82,35.579
SYY,36528037888,20.557951,15.999579,0.82345,0.03,-0.012,640.248
TROW,21148710912,10.495671,1.9517791,0.18791,0.06,0.036,3.891
TPR,31894667264,60.173748,57.318867,0.55337,0.14,0.942,715.475
TRGP,50621145088,27.705883,16.47775,0.51381,-0.079,0.745,548.63
TGT,57893056512,15.724477,3.5812533,0.24034001,-0.015,-0.05,125.518
TDY,29449918464,33.67744,2.793077,0.08926,0.073,0.391,25.13
TEL,72250826752,35.466858,5.5666375,0.16097,0.217,0.444,45.691
TER,59552075776,109.93642,21.23723,0.19734,0.439,0.814,10.131
TSLA,1503299239936,370.94443,18.295658,0.049250003,-0.031,-0.606,17.763
TXN,209242701824,42.16881,12.809052,0.30148,0.104,-0.032,90.819
TTWO,39264604160,,11.227959,-0.86217004,0.249,,100.449
TKO,14704024576,82.80444,3.8766932,0.056339998,0.119,,43.924
TJX,178429837312,32.99384,17.457626,0.59129,0.085,0.279,132.375
TXT,15955020800,17.892578,2.027757,0.12242,0.156,0.744,54.375
TPL,29133320192,60.628407,19.967867,0.37152,0.139,0.043,1.219
TMO,195695804416,29.667604,3.7096002,0.13024001,0.072,0.093,77.255
TDG,71488757760,40.651253,-7.7015457,,0.139,-0.129,
TTD,10695203840,24.966667,4.304598,0.16317,0.143,0.075,17.563
TSCO,23691071488,21.849514,9.1894655,0.45183998,0.033,-0.022,230.228
TT,105572155392,36.233635,12.2908325,0.36956,0.056,-0.005,63.247
TRV,63965646848,8.976724,1.9889973,0.25272,0.01,3.576,28.975
TFC,64691486720,13.23822,1.059235,0.08579001,0.052,0.253,
TYL,14727206912,47.6509,3.9898682,0.08901,0.063,0.011,17.355
TSN,22821758976,115.75,1.266263,0.012560001,0.051,-0.762,46.039
USB,88526151680,11.935011,1.516637,0.123500004,0.046,0.148,
TRMB,16208968704,39.36932,2.80186,0.07322,-0.014,0.805,26.749
UBER,158721916928,16.30444,5.8973775,0.39925998,0.201,-0.956,43.806
ULTA,24548251648,21.59875,8.717763,0.43595,0.118,-0.054,77.835
UDR,13282533376,31.221237,3.568683,0.09378,0.015,,144.726
UNP,149096366080,20.963272,8.0677185,0.40377,-0.006,0.068,177.733
UPS,90439188480,16.22561,5.5689845,0.33772,-0.032,0.046,175.884
UAL,33049307136,9.980392,2.154771,0.23987,0.048,0.081,203.089
UNH,294658801664,24.518883,3.1252286,0.12538,0.123,-0.999,81.618
URI,50155978752,20.620306,5.6014442,0.28357,0.028,-0.019,174.732
VLO,66877214720,29.583332,2.8180282,0.08299,-0.021,3.179,43.988
VLTO,22548789248,24.19681,7.2784004,0.36498,0.038,0.122,92.692
UHS,11142814720,7.8999567,1.5309274,0.21326,0.091,0.427,69.729
VRSN,25130383360,31.142044,-11.691053,,0.076,0.118,
VTR,40461914112,157.59259,3.2262955,0.0217,0.214,0.101,101.996
VRSK,24563312640,27.479939,79.74474,4.3794603,,,1581.795
VZ,196333191168,11.465517,1.8792894,0.17069,0.02,-0.533,174.78
VTRS,17093698560,,1.1487597,-0.21080999,0.05,,99.91
VRTX,112223518720,28.817766,6.003538,0.22541,0.095,0.329,10.908
VICI,31011371008,11.1149435,1.1154261,0.10217,0.038,-0.034,62.679
VRT,117587812352,90.12903,29.830145,0.41809,0.227,1.995,81.899
WRB,25396815872,15.017979,2.5982661,0.19700001,0.015,-0.218,31.921
V,611227074560,29.767136,15.824099,0.53954,0.146,0.174,54.612
VST,55339266048,75.32719,21.083452,0.17656,0.136,-0.523,399.55
VMC,38091603968,35.836605,4.4688706,0.12972,0.032,-0.138,57.785
GWW,55091982336,32.897877,14.760555,0.46098998,0.045,-0.02,69.114
WAB,44909109248,38.617302,4.0325522,0.11096,0.148,-0.038,53.021
WBD,68860928000,94.72414,1.8967065,0.02078,-0.057,,98.91
WMT,1016481316864,46.703297,10.199183,0.21847,0.056,-0.19,64.443
DIS,188493299712,15.653903,1.7402054,0.12024,0.052,-0.043,40.909
WFC,250332069888,12.58269,1.5304358,0.12028,0.057,0.151,
WM,90327048192,33.425373,9.032792,0.29696,0.071,0.236,239.385
WAT,32175699968,30.490232,7.6206083,0.29279,0.068,-0.031,60.282
WEC,37738815488,24.089397,2.770088,0.11576,0.111,-0.325,159.331
WELL,148317765632,149.30498,3.4804175,0.025390001,0.413,-0.263,49.488
WST,19730898944,40.313698,6.205482,0.16855,0.075,0.021,10.271
WDC,127364325376,35.209827,17.811138,0.41126,0.252,1.896,65.436
WY,18148642816,55.933334,1.9240178,0.03384,-0.098,-0.091,60.694
WSM,23647299584,22.476244,11.331698,0.51523995,-0.043,-0.073,69.957
WMB,87006273536,33.24766,6.80731,0.18555,0.087,0.508,197.026
WDAY,32567289856,47.810814,4.111222,0.08231,0.145,0.629,48.956
WTW,28140644352,18.316309,3.5481064,0.20076,-0.033,-0.382,85.755
WYNN,11386693632,34.773884,-40.62128,,0.015,-0.593,
XYL,29446856704,30.895409,2.5697007,0.08396,0.063,0.03,21.066
YUM,45000060928,29.33153,-6.1560273,,0.065,0.277,
ZBRA,11532010496,28.658922,3.2402658,0.116809994,0.106,-0.558,75.167
ZBH,18543896576,26.698591,1.4592764,0.05599,0.109,-0.408,61.971
XEL,50607071232,23.707602,2.141631,0.09358,0.141,0.208,152.832
ZTS,51659988992,20.328903,15.611685,0.65992,0.03,0.061,279.586
